exp_id,total_elements,affected_elements,op_id,regen_ms,tvc_ms,validation_ms,rollback,simulation
b2.1,100000,1000,sim_100000_1000_3,16.83,23.56,6.73,False,True
b2.1,100000,1000,sim_100000_1000_4,16.83,23.56,6.73,False,True
b2.1,100000,1000,sim_100000_1000_5,16.83,23.56,6.73,False,True
b2.1,100000,1000,sim_100000_1000_6,16.83,23.56,6.73,False,True
b2.1,100000,1000,sim_100000_1000_7,16.83,23.56,6.73,False,True
b2.1,100000,1000,sim_100000_1000_8,16.83,23.56,6.73,False,True
b2.1,100000,1000,sim_100000_1000_9,16.83,23.56,6.73,False,True
b2.1,100000,5000,sim_100000_5000_0,29.56,41.39,11.82,False,True
b2.1,100000,5000,sim_100000_5000_1,29.56,41.39,11.82,False,True
b2.1,100000,5000,sim_100000_5000_2,29.56,41.39,11.82,False,True
b2.1,100000,5000,sim_100000_5000_3,29.56,41.39,11.82,False,True
b2.1,100000,5000,sim_100000_5000_4,29.56,41.39,11.82,False,True
b2.1,100000,5000,sim_100000_5000_5,29.56,41.39,11.82,False,True
b2.1,100000,5000,sim_100000_5000_6,29.56,41.39,11.82,False,True
b2.1,100000,5000,sim_100000_5000_7,29.56,41.39,11.82,False,True
b2.1,100000,5000,sim_100000_5000_8,29.56,41.39,11.82,False,True
b2.1,100000,5000,sim_100000_5000_9,29.56,41.39,11.82,False,True
