exp_id,scenario,concurrency,edit_rate,offline_duration,p50_latency_ms,p95_latency_ms,conflict_rate,override_rate,rollback_rate,simulation,live
b2.2,same_wall_edits,3,10,0,0.024,0.096,0.0,0.0,0.0,False,True
b2.2,same_wall_edits,10,10,0,0.029,0.092,0.16,0.16,0.0,False,True
b2.2,same_wall_edits,20,10,0,0.025,0.102,0.15,0.15,0.0,False,True
b2.2,same_wall_edits,1,10,3600,0.097,0.162,0.6,0.6,0.0,False,True
b2.2,same_wall_edits,3,10,3600,0.025,0.086,0.06666666666666667,0.0667,0.0,False,True
b2.2,same_wall_edits,10,10,3600,0.047,0.495,0.16,0.16,0.0,False,True
b2.2,same_wall_edits,20,10,3600,0.025,0.103,0.13,0.13,0.0,False,True
b2.2,same_wall_edits,1,10,21600,0.028,0.1,0.6,0.6,0.0,False,True
b2.2,same_wall_edits,3,10,21600,0.027,0.202,0.26666666666666666,0.2667,0.0,False,True
b2.2,same_wall_edits,10,10,21600,0.024,0.143,0.08,0.08,0.0,False,True
b2.2,same_wall_edits,20,10,21600,0.024,0.158,0.13,0.13,0.0,False,True
b2.2,same_wall_edits,1,10,86400,0.036,0.098,0.0,0.0,0.0,False,True
b2.2,same_wall_edits,3,10,86400,0.05,0.544,0.2,0.2,0.0,False,True
b2.2,same_wall_edits,10,10,86400,0.024,0.901,0.08,0.08,0.0,False,True
b2.2,same_wall_edits,20,10,86400,0.024,0.164,0.2,0.2,0.0,False,True
b2.2,same_wall_edits,1,30,0,0.027,0.092,0.4,0.1333,0.0,False,True
b2.2,same_wall_edits,3,30,0,0.024,0.084,0.6,0.2,0.0,False,True
b2.2,same_wall_edits,10,30,0,0.025,0.112,0.6,0.2,0.0,False,True
b2.2,same_wall_edits,20,30,0,0.024,0.207,0.46,0.1533,0.0,False,True
b2.2,same_wall_edits,1,30,3600,0.055,0.146,0.0,0.0,0.0,False,True
b2.2,same_wall_edits,3,30,3600,0.024,0.184,0.4666666666666667,0.1556,0.0,False,True
b2.2,same_wall_edits,10,30,3600,0.024,0.116,0.46,0.1533,0.0,False,True
b2.2,same_wall_edits,20,30,3600,0.026,0.105,0.34,0.1133,0.0,False,True
b2.2,same_wall_edits,1,30,21600,0.026,1.02,0.2,0.0667,0.0,False,True
b2.2,same_wall_edits,3,30,21600,0.024,0.086,0.4,0.1333,0.0,False,True
b2.2,same_wall_edits,10,30,21600,0.024,0.148,0.32,0.1067,0.0,False,True
b2.2,same_wall_edits,20,30,21600,0.024,0.126,0.34,0.1133,0.0,False,True
b2.2,same_wall_edits,1,30,86400,0.026,0.16,0.6,0.2,0.0,False,True
b2.2,same_wall_edits,3,30,86400,0.025,0.179,0.5333333333333333,0.1778,0.0,False,True
b2.2,same_wall_edits,10,30,86400,0.025,0.151,0.52,0.1733,0.0,False,True
b2.2,same_wall_edits,20,30,86400,0.024,0.089,0.45,0.15,0.0,False,True
b2.2,host_collision,1,10,0,0.032,0.095,0.4,0.4,0.0,False,True
b2.2,host_collision,3,10,0,0.036,0.204,0.3333333333333333,0.3333,0.0,False,True
b2.2,host_collision,10,10,0,0.025,0.101,0.16,0.16,0.0,False,True
b2.2,host_collision,20,10,0,0.024,0.493,0.22,0.22,0.0,False,True
b2.2,host_collision,1,10,3600,0.028,0.085,0.4,0.4,0.0,False,True
b2.2,host_collision,3,10,3600,0.025,0.085,0.3333333333333333,0.3333,0.0,False,True
b2.2,host_collision,10,10,3600,0.025,0.088,0.28,0.28,0.0,False,True
b2.2,host_collision,20,10,3600,0.024,0.128,0.2,0.2,0.0,False,True
b2.2,host_collision,1,10,21600,0.025,0.087,0.0,0.0,0.0,False,True
b2.2,host_collision,3,10,21600,0.063,1.342,0.06666666666666667,0.0667,0.0,False,True
b2.2,host_collision,10,10,21600,0.045,0.154,0.14,0.14,0.0,False,True
b2.2,host_collision,20,10,21600,0.036,0.246,0.25,0.25,0.0,False,True
b2.2,host_collision,1,10,86400,0.032,0.1,0.2,0.2,0.0,False,True
b2.2,host_collision,3,10,86400,0.025,0.138,0.2,0.2,0.0,False,True
b2.2,host_collision,10,10,86400,0.027,0.249,0.38,0.38,0.0,False,True
b2.2,host_collision,20,10,86400,0.025,0.153,0.23,0.23,0.0,False,True
b2.2,host_collision,1,30,0,0.025,0.305,1.0,0.3333,0.0,False,True
b2.2,host_collision,3,30,0,0.025,0.207,0.7333333333333333,0.2444,0.0,False,True
b2.2,host_collision,10,30,0,0.024,0.091,0.72,0.24,0.0,False,True
b2.2,host_collision,20,30,0,0.024,0.085,0.79,0.2633,0.0,False,True
b2.2,host_collision,1,30,3600,0.026,0.097,1.4,0.4667,0.0,False,True
b2.2,host_collision,3,30,3600,0.024,0.229,0.4,0.1333,0.0,False,True
b2.2,host_collision,10,30,3600,0.025,0.091,0.64,0.2133,0.0,False,True
b2.2,host_collision,20,30,3600,0.024,0.102,0.71,0.2367,0.0,False,True
b2.2,host_collision,1,30,21600,0.025,0.094,0.4,0.1333,0.0,False,True
b2.2,host_collision,3,30,21600,0.024,0.157,0.8,0.2667,0.0,False,True
b2.2,host_collision,10,30,21600,0.026,0.174,0.8,0.2667,0.0,False,True
b2.2,host_collision,20,30,21600,0.024,0.289,0.73,0.2433,0.0,False,True
b2.2,host_collision,1,30,86400,0.024,0.092,0.6,0.2,0.0,False,True
b2.2,host_collision,3,30,86400,0.025,0.129,0.7333333333333333,0.2444,0.0,False,True
b2.2,host_collision,10,30,86400,0.024,0.11,0.66,0.22,0.0,False,True
b2.2,host_collision,20,30,86400,0.024,0.086,0.81,0.27,0.0,False,True
