exp_id,scenario,concurrency,edit_rate,offline_duration,p50_latency_ms,p95_latency_ms,conflict_rate,override_rate,rollback_rate,simulation
b2.2,disjoint_edits,3,30,3600,70.08219294296325,82.09500141908859,0.0025,0.001,0.001,True
b2.2,disjoint_edits,10,30,3600,100.44529321369187,118.03989786697738,0.006,0.001,0.003,True
b2.2,disjoint_edits,20,30,3600,149.519241184304,167.6893382445004,0.011,0.001,0.006,True
b2.2,disjoint_edits,1,30,21600,61.09751789253197,67.89385341711684,0.0015,0.001,0.001,True
b2.2,disjoint_edits,3,30,21600,67.91622257209264,84.76953180409848,0.0025,0.001,0.001,True
b2.2,disjoint_edits,10,30,21600,97.90168165544527,109.32094136671815,0.006,0.001,0.003,True
b2.2,disjoint_edits,20,30,21600,148.48325142393855,165.2519274590198,0.011,0.001,0.006,True
b2.2,disjoint_edits,1,30,86400,52.3820251592978,56.53861073570957,0.0015,0.001,0.001,True
b2.2,disjoint_edits,3,30,86400,62.925171157553564,81.03052652443563,0.0025,0.001,0.001,True
b2.2,disjoint_edits,10,30,86400,97.38881462669038,111.16554218007064,0.006,0.001,0.003,True
b2.2,disjoint_edits,20,30,86400,151.7277104121444,166.90719464084123,0.011,0.001,0.006,True
b2.2,same_wall_edits,1,10,0,59.86368318734093,70.45904365215705,0.01,0.02,0.001,True
b2.2,same_wall_edits,3,10,0,66.91453037682984,97.14390971909233,0.03,0.06,0.001,True
b2.2,same_wall_edits,10,10,0,100.61509458705251,111.97265881393415,0.1,0.2,0.003,True
b2.2,same_wall_edits,20,10,0,148.94313219468512,165.48967883590637,0.2,0.4,0.006,True
b2.2,same_wall_edits,1,10,3600,55.28268871679493,76.72857246395638,0.01,0.02,0.001,True
b2.2,same_wall_edits,3,10,3600,62.894288314112664,77.8910308822611,0.03,0.06,0.001,True
b2.2,same_wall_edits,10,10,3600,102.70094204767005,116.99892339660947,0.1,0.2,0.003,True
b2.2,same_wall_edits,20,10,3600,148.43967830494833,164.7044443814555,0.2,0.4,0.006,True
b2.2,same_wall_edits,1,10,21600,48.51608823415941,70.96577334121004,0.01,0.02,0.001,True
b2.2,same_wall_edits,3,10,21600,63.332299734569055,91.05452593879662,0.03,0.06,0.001,True
b2.2,same_wall_edits,10,10,21600,98.93199396622595,117.8282214840061,0.1,0.2,0.003,True
b2.2,same_wall_edits,20,10,21600,149.50373317737953,172.29998540520782,0.2,0.4,0.006,True
b2.2,same_wall_edits,1,10,86400,55.58576275647841,70.1749245092277,0.01,0.02,0.001,True
b2.2,same_wall_edits,3,10,86400,63.739664218936674,77.3289661100145,0.03,0.06,0.001,True
b2.2,same_wall_edits,10,10,86400,102.88816582066866,112.71293016796746,0.1,0.2,0.003,True
b2.2,same_wall_edits,20,10,86400,149.2352041394007,166.02882574536284,0.2,0.4,0.006,True
b2.2,same_wall_edits,1,30,0,52.94351092675936,70.67407766599536,0.01,0.02,0.001,True
b2.2,same_wall_edits,3,30,0,67.60542446743767,88.4160353590527,0.03,0.06,0.001,True
b2.2,same_wall_edits,10,30,0,99.05658906298831,116.38368221459261,0.1,0.2,0.003,True
b2.2,same_wall_edits,20,30,0,150.913420675159,172.49661554046608,0.2,0.4,0.006,True
b2.2,same_wall_edits,1,30,3600,60.03582838678804,66.92035332750875,0.01,0.02,0.001,True
b2.2,same_wall_edits,3,30,3600,64.43317391740031,75.08173146523738,0.03,0.06,0.001,True
b2.2,same_wall_edits,10,30,3600,103.72448039527139,121.90775031390643,0.1,0.2,0.003,True
b2.2,same_wall_edits,20,30,3600,148.18503430766532,164.84951629773823,0.2,0.4,0.006,True
b2.2,same_wall_edits,1,30,21600,53.09531778441957,59.279337998879704,0.01,0.02,0.001,True
b2.2,same_wall_edits,3,30,21600,60.365030665001335,84.8654938354224,0.03,0.06,0.001,True
b2.2,same_wall_edits,10,30,21600,102.17361269793028,113.06536579420654,0.1,0.2,0.003,True
b2.2,same_wall_edits,20,30,21600,149.20907589537035,168.18386334980022,0.2,0.4,0.006,True
b2.2,same_wall_edits,1,30,86400,50.716354799724016,62.298529681182295,0.01,0.02,0.001,True
b2.2,same_wall_edits,3,30,86400,67.24984097160552,80.60181737092678,0.03,0.06,0.001,True
b2.2,same_wall_edits,10,30,86400,98.71922372915593,117.11559363984959,0.1,0.2,0.003,True
b2.2,same_wall_edits,20,30,86400,148.89595332661577,167.38910256787796,0.2,0.4,0.006,True
b2.2,host_collision,1,10,0,58.9912286959972,63.46427358226088,0.015,0.03,0.001,True
b2.2,host_collision,3,10,0,64.58580090878544,78.16917873379687,0.045,0.09,0.001,True
b2.2,host_collision,10,10,0,99.83604288287208,115.76791021638059,0.15,0.3,0.003,True
b2.2,host_collision,20,10,0,152.50867126914298,166.63784596276787,0.3,0.6,0.006,True
b2.2,host_collision,1,10,3600,54.25232230105649,64.03151371383889,0.015,0.03,0.001,True
b2.2,host_collision,3,10,3600,68.69802495475139,96.49164263059328,0.045,0.09,0.001,True
b2.2,host_collision,10,10,3600,102.38092325533545,122.35944858014003,0.15,0.3,0.003,True
b2.2,host_collision,20,10,3600,152.58357129485285,168.10265110214007,0.3,0.6,0.006,True
b2.2,host_collision,1,10,21600,61.3091549460344,70.46769508119758,0.015,0.03,0.001,True
b2.2,host_collision,3,10,21600,60.98925517770286,78.12315957931357,0.045,0.09,0.001,True
b2.2,host_collision,10,10,21600,97.85922032948113,121.14005923131948,0.15,0.3,0.003,True
b2.2,host_collision,20,10,21600,149.85918673672035,168.16138877365123,0.3,0.6,0.006,True
b2.2,host_collision,1,10,86400,53.56546828111204,82.4755565068576,0.015,0.03,0.001,True
b2.2,host_collision,3,10,86400,63.897206226673035,80.71987503729352,0.045,0.09,0.001,True
b2.2,host_collision,10,10,86400,99.93969500178504,118.50407292514174,0.15,0.3,0.003,True
b2.2,host_collision,20,10,86400,149.00750552863133,166.73936320811814,0.3,0.6,0.006,True
b2.2,host_collision,1,30,0,55.15627414580564,63.180278174359785,0.015,0.03,0.001,True
b2.2,host_collision,3,30,0,64.7316270339286,80.83176453148766,0.045,0.09,0.001,True
b2.2,host_collision,10,30,0,101.42296272656738,115.32476546975339,0.15,0.3,0.003,True
b2.2,host_collision,20,30,0,149.01067847969767,161.70052510233012,0.3,0.6,0.006,True
b2.2,host_collision,1,30,3600,56.275441611853694,72.54934817892236,0.015,0.03,0.001,True
b2.2,host_collision,3,30,3600,62.03115209824835,90.85314920636579,0.045,0.09,0.001,True
b2.2,host_collision,10,30,3600,96.97567392396252,116.09574085417947,0.15,0.3,0.003,True
b2.2,host_collision,20,30,3600,149.48030163533676,166.38765712601057,0.3,0.6,0.006,True
b2.2,host_collision,1,30,21600,57.95416516043972,68.65465674855253,0.015,0.03,0.001,True
b2.2,host_collision,3,30,21600,62.42850032163089,82.08514613750296,0.045,0.09,0.001,True
b2.2,host_collision,10,30,21600,98.61735399731275,114.87384193028946,0.15,0.3,0.003,True
b2.2,host_collision,20,30,21600,150.97544181850884,165.98453936825487,0.3,0.6,0.006,True
b2.2,host_collision,1,30,86400,57.08557066946505,81.89156725595437,0.015,0.03,0.001,True
b2.2,host_collision,3,30,86400,59.05813376390577,78.93911062628084,0.045,0.09,0.001,True
b2.2,host_collision,10,30,86400,103.49570319017535,116.53889827394813,0.15,0.3,0.003,True
b2.2,host_collision,20,30,86400,151.1189786283755,162.9678599057699,0.3,0.6,0.006,True
