exp_id,agent_ops,bulk_threshold,permission_profile,approval_latency_ms,tvc_ms,rollback,rollback_reason,constraint_violation,override,validation_issue_severity,simulation
b2.3,100,50,narrow,0,65,False,,False,False,0,True
b2.3,100,50,narrow,0,70,False,,False,False,0,True
b2.3,100,50,narrow,0,50,False,,False,False,0,True
b2.3,100,50,narrow,0,55,False,,False,False,0,True
b2.3,100,50,narrow,0,60,False,,False,False,0,True
b2.3,100,50,narrow,0,65,False,,False,False,0,True
b2.3,100,50,narrow,0,70,False,,False,False,0,True
b2.3,100,50,narrow,0,50,False,,False,False,0,True
b2.3,100,50,narrow,0,55,False,,False,False,0,True
b2.3,100,50,narrow,0,60,False,,False,False,0,True
b2.3,100,50,narrow,0,65,False,,False,False,0,True
b2.3,100,50,narrow,0,70,False,,False,False,0,True
b2.3,100,50,narrow,0,50,False,,False,False,0,True
b2.3,100,50,narrow,0,55,False,,False,False,0,True
b2.3,100,50,narrow,0,60,False,,False,False,0,True
b2.3,100,50,narrow,0,65,False,,False,False,0,True
b2.3,100,50,narrow,0,70,False,,False,False,0,True
b2.3,100,50,narrow,0,50,False,,False,False,0,True
b2.3,100,50,narrow,0,55,False,,False,False,0,True
b2.3,100,50,narrow,0,60,False,,False,False,0,True
b2.3,100,50,narrow,0,65,False,,False,False,0,True
b2.3,100,50,narrow,0,70,False,,False,False,0,True
b2.3,100,50,narrow,0,50,False,,False,False,0,True
b2.3,100,50,narrow,0,55,False,,False,False,0,True
b2.3,100,50,narrow,0,60,False,,False,False,0,True
b2.3,100,50,narrow,0,65,False,,False,False,0,True
b2.3,100,50,narrow,0,70,False,,False,False,0,True
b2.3,100,50,narrow,0,50,False,,False,False,0,True
b2.3,100,50,narrow,0,55,False,,False,False,0,True
b2.3,100,50,narrow,0,60,False,,False,False,0,True
b2.3,100,50,narrow,0,65,False,,False,False,0,True
b2.3,100,50,narrow,0,70,False,,False,False,0,True
b2.3,100,50,narrow,0,50,False,,False,False,0,True
b2.3,100,50,narrow,0,55,False,,False,False,0,True
b2.3,100,50,narrow,0,60,False,,False,False,0,True
b2.3,100,50,narrow,0,65,False,,False,False,0,True
b2.3,100,50,narrow,0,70,False,,False,False,0,True
b2.3,100,50,narrow,0,50,False,,False,False,0,True
b2.3,100,50,narrow,0,55,False,,False,False,0,True
b2.3,100,50,narrow,0,60,False,,False,False,0,True
b2.3,100,50,narrow,0,65,False,,False,False,0,True
b2.3,100,50,narrow,0,70,False,,False,False,0,True
b2.3,100,50,narrow,0,50,False,,False,False,0,True
b2.3,100,50,narrow,0,55,False,,False,False,0,True
b2.3,100,50,narrow,0,60,False,,False,False,0,True
b2.3,100,50,narrow,0,65,False,,False,False,0,True
b2.3,100,50,narrow,0,70,False,,False,False,0,True
b2.3,100,50,narrow,0,50,True,constraint_violation,True,False,3,True
b2.3,100,50,narrow,0,55,False,,False,False,0,True
b2.3,100,50,narrow,0,60,False,,False,False,0,True
b2.3,100,50,narrow,0,65,False,,False,False,0,True
b2.3,100,50,narrow,0,70,False,,False,False,0,True
b2.3,100,50,narrow,0,50,False,,False,False,0,True
b2.3,100,50,narrow,0,55,False,,False,False,0,True
b2.3,100,50,narrow,0,60,False,,False,False,0,True
b2.3,100,50,narrow,0,65,False,,False,False,0,True
b2.3,100,50,narrow,0,70,False,,False,False,0,True
b2.3,100,50,narrow,0,50,False,,False,False,0,True
b2.3,100,50,narrow,0,55,False,,False,False,0,True
b2.3,100,50,narrow,0,60,False,,False,False,0,True
b2.3,100,50,narrow,0,65,False,,False,False,0,True
b2.3,100,50,narrow,0,70,False,,False,False,0,True
b2.3,100,50,narrow,2000,50,False,,False,False,0,True
b2.3,100,50,narrow,2000,55,False,,False,False,0,True
b2.3,100,50,narrow,2000,60,False,,False,False,0,True
b2.3,100,50,narrow,2000,65,False,,False,False,0,True
b2.3,100,50,narrow,2000,70,False,,False,False,0,True
b2.3,100,50,narrow,2000,50,False,,False,False,0,True
b2.3,100,50,narrow,2000,55,False,,False,False,0,True
b2.3,100,50,narrow,2000,60,False,,False,False,0,True
b2.3,100,50,narrow,2000,65,False,,False,False,0,True
b2.3,100,50,narrow,2000,70,False,,False,False,0,True
b2.3,100,50,narrow,2000,50,False,,False,False,0,True
b2.3,100,50,narrow,2000,55,False,,False,False,0,True
b2.3,100,50,narrow,2000,60,False,,False,False,0,True
b2.3,100,50,narrow,2000,65,False,,False,False,0,True
b2.3,100,50,narrow,2000,70,False,,False,False,0,True
b2.3,100,50,narrow,2000,50,False,,False,False,0,True
b2.3,100,50,narrow,2000,55,False,,False,False,0,True
b2.3,100,50,narrow,2000,60,False,,False,False,0,True
b2.3,100,50,narrow,2000,65,False,,False,False,0,True
b2.3,100,50,narrow,2000,70,False,,False,False,0,True
b2.3,100,50,narrow,2000,50,False,,False,False,0,True
b2.3,100,50,narrow,2000,55,False,,False,False,0,True
b2.3,100,50,narrow,2000,60,False,,False,False,0,True
b2.3,100,50,narrow,2000,65,False,,False,False,0,True
b2.3,100,50,narrow,2000,70,False,,False,False,0,True
b2.3,100,50,narrow,2000,50,False,,False,False,0,True
b2.3,100,50,narrow,2000,55,False,,False,False,0,True
b2.3,100,50,narrow,2000,60,False,,False,False,0,True
b2.3,100,50,narrow,2000,65,False,,False,False,0,True
b2.3,100,50,narrow,2000,70,False,,False,False,0,True
b2.3,100,50,narrow,2000,50,False,,False,False,0,True
b2.3,100,50,narrow,2000,55,False,,False,False,0,True
b2.3,100,50,narrow,2000,60,False,,False,False,0,True
b2.3,100,50,narrow,2000,65,False,,False,False,0,True
b2.3,100,50,narrow,2000,70,False,,False,False,0,True
b2.3,100,50,narrow,2000,50,False,,False,False,0,True
b2.3,100,50,narrow,2000,55,False,,False,False,0,True
b2.3,100,50,narrow,2000,60,False,,False,False,0,True
b2.3,100,50,narrow,2000,65,False,,False,False,0,True
b2.3,100,50,narrow,2000,70,False,,False,False,0,True
b2.3,100,50,narrow,2000,50,False,,False,False,0,True
b2.3,100,50,narrow,2000,55,False,,False,False,0,True
b2.3,100,50,narrow,2000,60,False,,False,False,0,True
b2.3,100,50,narrow,2000,65,False,,False,False,0,True
b2.3,100,50,narrow,2000,70,False,,False,False,0,True
b2.3,100,50,narrow,2000,50,False,,False,False,0,True
b2.3,100,50,narrow,2000,55,False,,False,False,0,True
b2.3,100,50,narrow,2000,60,False,,False,False,0,True
b2.3,100,50,narrow,2000,65,False,,False,False,0,True
b2.3,100,50,narrow,2000,70,False,,False,False,0,True
b2.3,100,50,narrow,2000,2050,False,,False,False,0,True
b2.3,100,50,narrow,2000,2055,False,,False,False,0,True
b2.3,100,50,narrow,2000,2060,False,,False,False,0,True
b2.3,100,50,narrow,2000,2065,False,,False,False,0,True
b2.3,100,50,narrow,2000,2070,False,,False,False,0,True
b2.3,100,50,narrow,2000,2050,False,,False,False,0,True
b2.3,100,50,narrow,2000,2055,False,,False,False,0,True
b2.3,100,50,narrow,2000,2060,False,,False,False,0,True
b2.3,100,50,narrow,2000,2065,False,,False,False,0,True
b2.3,100,50,narrow,2000,2070,False,,False,False,0,True
b2.3,100,50,narrow,2000,2050,False,,False,False,0,True
b2.3,100,50,narrow,2000,2055,False,,False,False,0,True
b2.3,100,50,narrow,2000,2060,False,,False,False,0,True
b2.3,100,50,narrow,2000,2065,False,,False,False,0,True
b2.3,100,50,narrow,2000,2070,False,,False,False,0,True
b2.3,100,50,narrow,2000,2050,False,,False,False,0,True
b2.3,100,50,narrow,2000,2055,False,,False,False,0,True
b2.3,100,50,narrow,2000,2060,False,,False,False,0,True
b2.3,100,50,narrow,2000,2065,False,,False,False,0,True
b2.3,100,50,narrow,2000,2070,False,,False,False,0,True
b2.3,100,50,narrow,2000,2050,False,,False,False,0,True
b2.3,100,50,narrow,2000,2055,False,,False,False,0,True
b2.3,100,50,narrow,2000,2060,False,,False,False,0,True
b2.3,100,50,narrow,2000,2065,False,,False,False,0,True
b2.3,100,50,narrow,2000,2070,False,,False,False,0,True
b2.3,100,50,narrow,2000,2050,False,,False,False,0,True
b2.3,100,50,narrow,2000,2055,False,,False,False,0,True
b2.3,100,50,narrow,2000,2060,False,,False,False,0,True
b2.3,100,50,narrow,2000,2065,False,,False,False,0,True
b2.3,100,50,narrow,2000,2070,False,,False,False,0,True
b2.3,100,50,narrow,2000,2050,False,,False,False,0,True
b2.3,100,50,narrow,2000,2055,False,,False,False,0,True
b2.3,100,50,narrow,2000,2060,False,,False,False,0,True
b2.3,100,50,narrow,2000,2065,False,,False,False,0,True
b2.3,100,50,narrow,2000,2070,False,,False,False,0,True
b2.3,100,50,narrow,2000,2050,True,constraint_violation,True,False,3,True
b2.3,100,50,narrow,2000,2055,False,,False,False,0,True
b2.3,100,50,narrow,2000,2060,False,,False,False,0,True
b2.3,100,50,narrow,2000,2065,False,,False,False,0,True
b2.3,100,50,narrow,2000,2070,False,,False,False,0,True
b2.3,100,50,narrow,2000,2050,False,,False,False,0,True
b2.3,100,50,narrow,2000,2055,False,,False,False,0,True
b2.3,100,50,narrow,2000,2060,False,,False,False,0,True
b2.3,100,50,narrow,2000,2065,False,,False,False,0,True
b2.3,100,50,narrow,2000,2070,False,,False,False,0,True
b2.3,100,50,narrow,2000,2050,False,,False,False,0,True
b2.3,100,50,narrow,2000,2055,False,,False,False,0,True
b2.3,100,50,narrow,2000,2060,False,,False,False,0,True
b2.3,100,50,narrow,2000,2065,False,,False,False,0,True
b2.3,100,50,narrow,2000,2070,False,,False,False,0,True
